trek_code,company_name,customer_segment,total_credit_eur,total_debit_eur,tx_count,last_transaction_date
60074,,,0.0,0.0,3,2026-03-09
60077,,,0.0,0.0,2,2024-09-03
59810,,,0.0,0.0,3,2023-02-23
60081,,,0.0,0.0,1,2023-03-10
60075,,,0.0,0.0,1,2023-03-14
60092,,,0.0,0.0,1,2023-03-28
60069,,,0.0,0.0,2,2023-11-23
60018,,,0.0,0.0,1,2023-04-11
59751,,,0.0,0.0,1,2023-04-18
59458,,,0.0,0.0,9,2026-03-17
60097,,,0.0,0.0,1,2023-05-25
60096,,,0.0,0.0,1,2023-05-25
59894,,,0.0,0.0,2,2023-11-17
58537,,,0.0,0.0,2,2024-04-26
59966,,,0.0,0.0,2,2024-02-05
60119,,,0.0,0.0,1,2023-09-01
60127,,,0.0,0.0,1,2023-09-29
59211,,,0.0,0.0,1,2023-11-08
60134,,,0.0,0.0,2,2023-11-23
59643,,,0.0,0.0,1,2023-12-13
60145,,,0.0,0.0,1,2023-12-13
60149,,,0.0,0.0,1,2024-01-18
59140,,,0.0,0.0,1,2024-01-19
60166,,,0.0,0.0,1,2024-03-12
60165,,,0.0,0.0,1,2024-03-18
59496,,,0.0,0.0,1,2024-04-12
59514,,,0.0,0.0,1,2024-04-25
60179,,,0.0,0.0,3,2025-02-17
60178,,,0.0,0.0,1,2024-05-16
59100,,,0.0,0.0,1,2024-05-31
60200,,,0.0,0.0,1,2024-08-27
59917,,,0.0,0.0,1,2024-09-10
60198,,,0.0,0.0,1,2024-09-27
60211,,,0.0,0.0,1,2024-10-10
60228,,,0.0,0.0,2,2026-05-21
60229,,,0.0,0.0,3,2025-02-05
60238,,,0.0,0.0,1,2025-01-17
60240,,,0.0,0.0,1,2025-01-22
58558,,,0.0,0.0,1,2025-01-31
60234,,,0.0,0.0,3,2026-05-12
60235,,,0.0,0.0,1,2025-03-20
59370,,,0.0,0.0,1,2025-04-01
60257,,,0.0,0.0,1,2025-04-14
59683,,,0.0,0.0,2,2025-09-17
60012,,,0.0,0.0,1,2025-05-26
60265,,,0.0,0.0,1,2025-06-03
59062,,,0.0,0.0,1,2025-06-05
60274,,,0.0,0.0,1,2025-07-15
60280,,,0.0,0.0,1,2025-09-05
60285,,,0.0,0.0,2,2025-11-04
60287,,,0.0,0.0,1,2025-10-09
60294,,,0.0,0.0,1,2025-10-22
60030,,,0.0,0.0,1,2025-10-28
60295,,,0.0,0.0,1,2025-10-28
60308,,,0.0,0.0,1,2025-12-18
8001,,,0.0,2993.0,1,2025-12-31
60337,,,0.0,0.0,1,2026-05-18
60312,,,0.0,0.0,1,2026-01-19
60311,,,0.0,0.0,1,2026-01-19
60313,,,0.0,0.0,1,2026-01-20
60316,,,0.0,0.0,1,2026-01-26
60321,,,0.0,0.0,1,2026-02-25
59111,,,0.0,980.0,2,2023-04-21
59703,,,0.0,0.0,2,2023-06-07
10033,,,0.0,0.0,1,2023-07-27
59331,,,0.0,0.0,1,2023-10-26
59667,,,0.0,0.0,6,2026-04-24
10047,,,0.0,0.0,2,2024-08-27
